Truth(English),Truth (Telugu),Predicted
vithananni,విత్తనాన్ని,విత్తనాన్ని
prayaanikulu,ప్రయాణికులు,ప్రయాణికులు
hassan,హసన్,హసన్
pakshala,పక్షాల,పక్షాల
goutham,గౌతమ్,గౌతమ్
puraanamulanu,పురాణములను,పురాణములను
union,యూనియన్,తూనియన్
medassu,మేధస్సు,మేధస్సు
kuantum,క్వాంటమ్,క్వాంటమ్
aakaashaannayinaa,ఆకాశాన్నయినా,ఆకాశాన్నయినా
naats,నాట్స్,నాట్స్
jaavaed,జావేద్,జావేద్
powell,పావెల్,పావెల్
deshamunaku,దేశమునకు,దేశమునకు
dublin,డుబ్లిన్,డుబ్లిన్
cholera,కలరా,కలరా
vatakara,వడగర,వడగర
silva,సిల్వా,సిల్వా
patter,పాటర్,పాటర్
praatipadikapai,ప్రాతిపదికపై,ప్రాతిపదికపై
vishveshvarudini,విశ్వేశ్వరుడిని,విశ్వేశ్వరుడిని
astraalanu,అస్త్రాలను,అస్త్రాలను
bhagamgaanay,భాగంగానే,భాగంగానే
lingamunu,లింగమును,లింగమును
linde,లిండే,లిండే
saavadhaanangaa,సావధానంగా,సావధానంగా
entaravutunnaaro,ఎంటరవుతున్నారో,ఎంటరవుతున్నారో
under,అండర్,ఉండర్
gurtinchukovatam,గుర్తించుకోవటం,గుర్తించుకోవటం
pomdaali,పొందాలి,పొందాలి
vinoba,వినోబా,వినోబా
kukreja,కుక్రేజా,కుక్రేజా
jonesboro,జోన్స్బొరో,జోన్స్బొరో
chadhuvuthunnaaru,చదువుతున్నారు,చదువుతున్నారు
adyakshathana,అధ్యక్షతన,అద్యక్షతన
ankela,అంకెల,అంకెల
parishkarinchukonnaaru,పరిష్కరించుకొన్నారు,పరిష్కరించుకొన్నారు
oneday,వన్డే,ఒన్డే
sabhyuni,సభ్యుని,సభ్యుని
nirdhaarinchadam,నిర్ధారించడం,నిర్ధారించడం
kisaan,కిసాన్,కిసాన్
vivaranalo,వివరణలో,వివరణలో
statistics,స్టాటిస్టిక్స్,స్టాటిస్టిక్స్
ksheytraaniki,క్షేత్రానికి,క్షేత్రానికి
ananthapuramlo,అనంతపురంలో,అనంతపురంలో
bowie,బోవీ,బోవీ
das,దాస్,దాస్
guests,గెస్ట్స్,గొస్ట్స్
ayina,ఆయిన,ఆయిన
bhojanaala,భోజనాల,భోజనాల
pandaka,పండక,పండక
aamodhinchina,ఆమోదించిన,ఆమోదించిన
lakshmiprasanna,లక్ష్మిప్రసన్న,లక్ష్మిప్రసన్న
konaallo,కోణాల్లో,కోణాల్లో
neenantee,నేనంటే,నేనంటే
nuthilo,నూతిలో,నూతిలో
charchinchindhi,చర్చించింది,చర్చించింది
rakshinchharu,రక్షించారు,రక్షించారు
punaruddharinchi,పునరుద్ధరించి,పునరుద్ధరించి
atman,ఆత్మ,ఆత్మ
aunu,ఔను,ఆను
kunna,కున్న,కున్న
cheyalekapotunnaadu,చేయలేకపోతున్నాడు,చేయలేకపోతున్నాడు
nanwani,నన్వని,నన్వని
tegullu,తెగుళ్లు,తెగుళ్లు
gynecologist,గైనకాలజిస్ట్,గైనకాలజిస్ట్
pasupuleti,పసుపులేటి,పసుపులేటి
madona,మడోన్నా,మడోన్నా
nishedhimchaledannaaru,నిషేధించలేదన్నారు,నిషేధించలేదన్నారు
meere,మీరె,మీరె
edigindi,ఎదిగింది,ఎదిగింది
saanghikamga,సాంఘికంగా,సాంఘికంగా
dekalb,డేకల్బ్,డేకల్బ్
ispat,ఐస్పాట్,ఐస్పాట్
krushnarjunulu,కృష్ణార్జునులు,కృష్ణార్జునులు
bhaagaalaina,భాగాలైన,భాగాలైన
therakekkuthondi,తెరకెక్కుతోంది,తెరకెక్కుతోంది
kachchaerii,కచ్చేరీ,కచ్చేరీ
novosellic,నోవోసెల్లిక్,నోవోసెల్లిక్
sira,సిరా,సిరా
santaanotpattiki,సంతానోత్పత్తికి,సంతానోత్పత్తికి
charithrakarula,చరిత్రకారులు,చరిత్రకారులు
staem,స్టెమ్,స్టెమ్
grahaaniki,గ్రహానికి,గ్రహానికి
prakatinchukontunnaaru,ప్రకటించుకొంటున్నారు,ప్రకటించుకొంటున్నారు
hines,హైన్స్,హైన్స్
gajaendhra,గజేంద్ర,గజేంద్ర
buchanan,బుచానన్,బుచానన్
kottataadu,కొట్టతాడు,కొట్టతాడు
niraasaku,నిరాసకు,నిరాసకు
iddarni,ఇద్దర్ని,ఇద్దర్ని
maarchestaaranukunna,మార్చేస్తారనుకున్న,మార్చేస్తారనుకున్న
savaallu,సవాళ్లు,సవాళ్లు
pattina,పట్టిన,పట్టిన
bender,బెండర్,బెండర్
barai,బారై,బారై
prayojanakarangaa,ప్రయోజనకరంగా,ప్రయోజనకరంగా
undhannadi,ఉందన్నది,ఉందన్నది
rivas,రివాస్,రివాస్
pramaanha,ప్రమాణ,ప్రమాణ
maarutunnaananii,మారుతున్నాననీ,మారుతున్నాననీ
ekkuvagaane,ఎక్కువగానే,ఎక్కువగానే
praveshapettabadindho,ప్రవేశపెట్టబడిందో,ప్రవేశపెట్టబడిందో
bulandshahr,బులంద్షహర్,బులంద్షహర్
arhuraalani,అర్హురాలని,అర్హురాలని
castaneda,కాస్టనెడ,కాస్టనెడ
nruthyaaniki,నృత్యానికి,నృత్యానికి
dohadapade,దోహదపడే,దోహదపడే
dispur,దిస్పుర్,దిస్పుర్
ounu,ఔను,ఒను
vikki,విక్కీ,విక్కీ
buttinchu,బుట్టించు,బుట్టించు
choosukovaalani,చూసుకోవాలని,చూసుకోవాలని
sikimdar,సికిందర్,సికిందర్
avataar,అవతార్,అవతార్
chotuchaesukuntaayi,చోటుచేసుకుంటాయి,చోటుచేసుకుంటాయి
cosamani,కోసమని,కోసమని
teesukuntaamani,తీసుకుంటామని,తీసుకుంటామని
angeekarinchi,అంగీకరించి,అంగీకరించి
castalloy,కాస్ట్అల్లాయ్,కాస్ట్షల్లాయ్
saakshyaalanu,సాక్ష్యాలను,సాక్ష్యాలను
vahinchina,వహించినా,వహించినా
jaataralo,జాతరలో,జాతరలో
deeshamunaku,దేశమునకు,దేశమునకు
dharmshala,ధర్మశాల,ధర్మశాల
kaladi,కలదీ,కలదీ
eaton,ఎటన్,ఎకన్
pettukuntunnaare,పెట్టుకుంటున్నారే,పెట్టుకుంటున్నారే
whirlpool,వర్లపుల్,వర్లపుల్
nirdharinchadam,నిర్ధారించడం,నిర్ధారించడం
aasrayinchaaru,ఆశ్రయించారు,ఆశ్రయించారు
anoo,అనో,అనో
sathyamuurthi,సత్యమూర్తి,సత్యమూర్తి
alwadhi,అల్వాధి,అల్వాధి
manro,మన్రో,మన్రో
tappinchukovadamlonoo,తప్పించుకోవడంలోనూ,తప్పించుకోవడంలోనూ
atul,అతుల్,అతుల్
nirdhaarinchaadu,నిర్ధారించాడు,నిర్ధారించాడు
jeffersonville,జెఫర్సన్విల్,జెఫర్సన్విల్
tiwari,తివారి,తివారి
dhishaa,దిశా,ధిశా
durgavansh,దుర్గవంష్,దుర్గవంష్
chikkati,చిక్కటి,చిక్కటి
